ID;Name;Text;haveOptions;Option1Text;Option1NextID;Option2Text;Option2NextID;Option3Text;Option3NextID;OptionWithRequirementText;OptionWithRequirementID;NextLineID;RequiredID
0;Siroco;Pero que pintas llevas, ¿dónde te has metido?, creo que vas a necesitar un vestido nuevo. ;1;¿Sabes dónde está la anciana?;1;¿Qué ha pasado en el pueblo?;3;¿Cómo consigo un vestido nuevo?;5;;;;
1;Brisa;¿Sabes dónde está la anciana?;0;;;;;;;;;2;
2;Siroco;No chata, por aquí no se ha pasado.;0;;;;;;;;;;
3;Brisa;¿Qué ha pasado en el pueblo?;0;;;;;;;;;4;
4;Siroco;Vaya tela todo este marrón con los soldados. Bueno, algo me ha contado Launa, pero ya sabes la que se trae. ;0;;;;;;;;;;
5;Brisa;¿Cómo consigo un vestido nuevo?;0;;;;;;;;;6;
6;Siroco;Para conseguir un vestido nuevo monísimo tendrás que recolectar tres ovillos de lana. Los puedes encontrar por el pueblo.;0;;;;;;;;;;
7;Brisa;Adiós;0;;;;;;;;;7;
8;Siroco;¡Adiós!, a ver si no te despeinas con tanto viento.;0;;;;;;;;;;
9;Launa;¡Hoy no paro de recibir visitas!, pero ya sabes, si quieres algo, ¡tendrás que soltar prenda! ;1;¿Sabes dónde está la anciana?;10;¿Qué ha pasado en el pueblo?;12;Adiós;14;;;;
10;Brisa;¿Sabes dónde está la anciana?;0;;;;;;;;;11;
11;Launa;Mis palabras valen oro, ¿sabes por qué? Si yo no sé algo no me lo invento ¡No tengo ni idea de donde se ha podido meter esa viejecita!;0;;;;;;;;;;
12;Brisa;¿Qué ha pasado en el pueblo?;0;;;;;;;;;13;
13;Launa;Quizás sepa algo… ;0;;;;;;;;;;
14;Brisa;Adiós;0;;;;;;;;;15;
15;Launa;¡Hala, hala! Si necesitas algo, ya sabes dónde encontrarme.;0;;;;;;;;;;
16;Jena;¡Brisa! ¿¡De donde has sacado esa vaca enorme!? Hay que ver, desapareces un día y mira con que vuelves. ¿Como piensas alimentar semejante animal? ;1;¿Sabes dónde está la anciana?;17;¿Qué ha pasado en el pueblo?;19;Adiós;27;;;;
17;Brisa;¿Sabes dónde está la anciana?;0;;;;;;;;;18;
18;Jena;¡Ojalá lo supiera! Llevo toda la mañana esperándola. ;0;;;;;;;;;19;
19;Jena;¡Todavía tengo una cesta de frutas que me encargó y no aparece por ningún lado! ;0;;;;;;;;;20;
20;Jena;¿Te la quieres quedar tu? ¡Seguro que esa vaca tiene buen tragar!;1;Si;23;No;25;;;;;;
21;Brisa;¿Qué ha pasado en el pueblo?;0;;;;;;;;;;
22;Jena;¡Se ha montado un follón tremendo! Pero yo no me he enterado de nada.;0;;;;;;;;;;
23;Brisa;Si;0;;;;;;;;;24;
24;Jena;¡Ahí tienes guapetona!;0;;;;;;;;;;
25;Brisa;No;0;;;;;;;;;26;
26;Jena;¿Seguro? Con lo que tiene que comer el animal. ;0;;;;;;;;;;
27;Brisa;Adiós;0;;;;;;;;;;
28;Jena;¡Hasta la próxima Brisa!;0;;;;;;;;;28;
29;Lino;Hola Brisa, lo siento, pero hoy no puedo hablar. ¡No puedo parar el tiempo se me va volando!;1;¿Sabes dónde está la anciana?;30;¿Qué ha pasado en el pueblo?;32;;;;;;
30;Brisa;¿Sabes dónde está la anciana?;0;;;;;;;;;31;
31;Lino;No…No tengo mucho tiempo, mejor pregúntale a mi hermano.;0;;;;;;;;;;
32;Brisa;¿Qué ha pasado en el pueblo?;0;;;;;;;;;33;
33;Lino;Ya te he dicho que no tengo tiempo. ;0;;;;;;;;;;
34;Brisa;Adiós;0;;;;;;;;;35;
35;Lino;¡Corre tú también, que el tiempo vuela!;0;;;;;;;;;;
36;Nilo;Anda Brisa, vaya escolta peluda que traes eh… ¿necesitas algo?;1;¿Sabes dónde está la anciana?;38;¿Qué ha pasado en el pueblo?;40;Adiós;44;;37;;29
37;Nilo;¿Te ha mandado mi hermano? Buf, no me extraña. Ese tonto de Lino no sabe ni por dónde le sopla el aire.;1;¿Sabes dónde está la anciana?;38;¿Qué ha pasado en el pueblo?;40;Adiós;44;;;;
38;Brisa;¿Sabes dónde está la anciana?;0;;;;;;;;;39;
39;Nilo;Creo que la he visto ir hacia el gran molino.;1;¿Cómo llego hasta el templo?;42;;;;;;;;
40;Brisa;¿Qué ha pasado en el pueblo?;0;;;;;;;;;41;
41;Nilo;No sé nada de lo que ha podido pasar. Las cosas se han puesto muy raras. ;0;;;;;;;;;;
42;Brisa;¿Cómo llego hasta el templo?;0;;;;;;;;;43;
43;Nilo;(…) Si quieres saber más puedes hablar con Elevane. Ella puede contarte más sobre el molino.;0;;;;;;;;;;
44;Brisa;Adios;0;;;;;;;;;45;
45;Nilo;¡Mucha suerte Brisa!;0;;;;;;;;;;
46;Elevane;…;1;¿Sabes dónde está la anciana?;47;Adiós;56;;;¿Qué sabes sobre el molino?;49;;43
47;Brisa;¿Sabes dónde está la anciana?;0;;;;;;;;;48;
48;Elevane;No… lo siento.;0;;;;;;;;;;
49;Brisa;¿Qué sabes sobre el molino?;0;;;;;;;;;50;
50;Elevane;El gran molino… se usaba de forma comunitaria para moler el grano. ;0;;;;;;;;;51;
51;Elevane;También se celebraban los grandes acontecimientos. Sin embargo… ya no esta en funcionamiento. ;1;¿Cómo funciona el molino?;51;;;;;;;;
52;Brisa;¿Cómo funciona el molino?;0;;;;;;;;;;
53;Elevane;…;0;;;;;;;;;;
54;Brisa;Adiós;0;;;;;;;;;55;
55;Elevane;…;0;;;;;;;;;;
56;;;;;;;;;;;;;
57;;;;;;;;;;;;;
58;;;;;;;;;;;;;
59;;;;;;;;;;;;;
60;;;;;;;;;;;;;
